problem_id,prompt_type,prompt
earth-moon,full_problem,"A graph G = (V, E) is *biplanar* if its edge set E can be partitioned into two parts E_1 and
E_2 such that both (V, E_1) and (V, E_2) are planar. (Equivalently, G has thickness at most 2.)

Your task: construct a biplanar graph whose chromatic number is at least 10. Such a graph
would improve the best known lower bound for the Earth-Moon problem from 9 to 10. (Achieving
12, the known upper bound, would resolve the problem completely.)

You must exhibit the graph as a partition of its edges into two planar parts E_1 and E_2,
supply a proper coloring of the graph, and state the chromatic number k you claim for it.
Your submission is accepted if and only if:

  1. Both (V, E_1) and (V, E_2) are planar (so G is biplanar);
  2. k is between 10 and 12 (every biplanar graph has chromatic number at most 12);
  3. the coloring you supply is a proper coloring of G = (V, E_1 ∪ E_2) using at most k colors
     (so the chromatic number of G is at most k); and
  4. G cannot be properly colored with k - 1 colors (so its chromatic number is at least k).

Conditions 3 and 4 together prove that the chromatic number of G is exactly k.

Solution format:
* Write your answer to a JSON file and submit its path.
* The JSON must be an object with these keys:
  - ""num_vertices"": a positive integer N. The vertices are the integers 0, 1, ..., N-1.
  - ""edges_part1"": a list of edges [u, v] forming the first planar part E_1.
  - ""edges_part2"": a list of edges [u, v] forming the second planar part E_2.
  - ""coloring"": a list of N integers; entry i is the color assigned to vertex i.
  - ""chromatic_number"": the integer k you claim is the chromatic number of G.
* E_1 and E_2 must be disjoint (together they are the edge set of G). Endpoints are integers
  in [0, N), and edges are undirected.
* Colors may be any integers; only which colors are equal matters. Color G with exactly k
  colors and set ""chromatic_number"" to that same k. Your choice of k must be at least 10 and
  at most 12. A larger value of k is a stronger result.

Example submission (illustrating the format only — this graph is not biplanar with a high
chromatic number):
{
  ""num_vertices"": 3,
  ""edges_part1"": [[0, 1], [1, 2]],
  ""edges_part2"": [[0, 2]],
  ""coloring"": [0, 1, 2],
  ""chromatic_number"": 3
}"
efx,full_problem,"# An example with no EFX allocation

## Setup

We divide m indivisible goods among n agents. Agent i has an **additive**
valuation: a nonnegative integer value V[i][g] for each good g, and values a
bundle S of goods by the sum of its parts,

    v_i(S) = sum over g in S of V[i][g].

An **allocation** (A_1, ..., A_n) partitions the goods: every good is given to
exactly one agent (bundles may be empty). There are exactly n^m allocations.

## EFX (envy-free up to any good)

An allocation is **EFX** if no agent strongly envies another after the removal of
any single positively-valued good from the envied bundle. Formally, for every
ordered pair of distinct agents i, j and every good g in A_j with V[i][g] > 0:

    v_i(A_i)  >=  v_i(A_j) - V[i][g].

The phrase ""up to *any* good"" is the crux: the inequality must hold even for the
good whose removal helps i the least (the smallest good in A_j that i values
positively). Equivalently, for every ordered pair (i, j) such that A_j contains
at least one good i values positively:

    v_i(A_i)  >=  v_i(A_j) - min{ V[i][g] : g in A_j and V[i][g] > 0 }.

## Your task

Exhibit an example where an EFX allocation does not exist: choose n and m and
an n-by-m valuation matrix such that **no** allocation of the m goods to the n
agents is EFX. Since EFX allocations always exist for n <= 3, choose n >= 4.

## Submission format

Write your answer to a JSON file: an array of n rows, where row i is a list of m
nonnegative integers giving agent i's values for goods 0, 1, ..., m-1. All rows
must have the same length. Submit that file's path with the submit tool.

Example:

    [[3, 0, 1],
     [1, 2, 2]]

Here agent 0 values the three goods at 3, 0, 1 and agent 1 at 1, 2, 2. (This
example is only to show the format; it is not a counterexample -- an EFX
allocation exists for it.)

Keep n^m small enough that all allocations can be checked within the time
limit."
elliptic-curve-discrete-logarithm,full_problem,"Let p be a prime. You are given a curve

    E/F_p : y^2 = x^3 + a*x + b,

a point P in E(F_p) of prime order n, and a point

    Q = xP,

where xP denotes elliptic-curve scalar multiplication: the point obtained by adding P to
itself x times under the group law on E. (The scalar x here is an integer, distinct from the
affine coordinate variable x in the curve equation above.)

The Elliptic Curve Discrete Logarithm Problem is to recover x from the data (p, a, b, P, Q).

The public challenge is p, a, b, P, Q, n, h, where #E(F_p) = h*n and h is small:

    p = 92031864238688105485400538143121826382268912998421731683072033206257804487869
    a = 66780434313013275323552928748270304481793221171615836760742707201070562072251
    b = 49926646401131159709065076432340744650532242327390476058390067276099410301761
    P = (38644201185363417798191368696978811687737990190927559170532558153854800741642, 44805905068903897561820523795034068749084951450263356538447620424400005028012)
    Q = (54096648540016620506320945354369315155659910460053503439381018376158456438152, 23176800742290374932252879903926227937053123957837615098744936554616726258932)
    n = 18406372847737621097080107628624365276513063062857122317960690589425712086189
    h = 5

## Task

Recover x (the private answer): the integer x with 1 <= x < n such that Q = xP.

## Submission

Submit x by calling the `submit_answer` tool with `secret_x` set to the decimal integer,
written as a string (for example ""123456789"")."
elliptic-curve-point-count,full_problem,"# Elliptic curves with a prescribed point count

Given a prime $p$ and a target $N$ in the Hasse interval
($|N - (p+1)| < 2\sqrt{p}$), construct an elliptic curve $E/\mathbb{F}_p$ with
exactly $\#E(\mathbb{F}_p) = N$. The verifier deliberately chooses $(p, N)$ so that
the CM discriminant $D = (p+1-N)^2 - 4p$ has a large squarefree part.

## Submission format

You will submit a single Python file. It may use `sage`. When submitting, you may
also constrain the challenges your program will receive by specifying at most one
of the following (noting the ""interestingness"" criterion below):

| parameter | meaning |
|-----------|---------|
| `s` | $p$ chosen with $2^s < p < 2^{s+1}$; $s$ between 7 and 300 |
| `p` | you fix the prime $p$ (must be prime, $\ge 128$) |
| `N` | you fix the cardinality $N$ ($\ge 128$); the verifier picks a compatible $p$ |

If none is specified, each challenge is a random instance over the whole range.

## Protocol

The verifier repeatedly:

1. picks a challenge $(p, N)$ subject to your constraint;
2. runs your program in a fresh process with `p` and `N` in decimal as the two
   command-line arguments, using the same Python interpreter that runs the verifier.
   That is Sage's Python, which is not necessarily the `python` on your `PATH` — find
   it with `sage -c 'import sys; print(sys.executable)'` and test your submission with
   that interpreter, or `import sage` may fail;
3. reads the last non-empty line of your program's stdout as your answer: the
   $a$-invariants of a curve $E/\mathbb{F}_p$ with $\#E = N$, either `a b` (for
   $y^2 = x^3 + ax + b$) or `a b c d e` (general Weierstrass form), space-separated.
   Earlier lines of stdout are ignored, so printing progress information is fine.

Your program is run on one challenge after another until a total wall-clock budget of 30
minutes is exhausted (at most 20 challenges). Each invocation may use whatever remains of
the 30 minutes, so a program that spends the whole budget on one instance gets exactly
one attempt. If you want to reuse expensive precomputation across challenges, cache it in
a file.

## Scoring

A solution counts when the returned curve really has $N$ points. Only solves with
$p$ above the size threshold of $2^{80}$ are ""interesting"".

If there is sufficient time available, your program may be run on multiple challenges.
It will be considered correct if it answers an ""interesting"" challenge correctly within
the available time.

## Example submission format

```
import sys

from sage.all import ZZ

p, N = ZZ(sys.argv[1]), ZZ(sys.argv[2])
curve = find_curve(p, N)   # you must implement this!
# Your answer: the a-invariants of the elliptic curve,
# either as a pair a,b for y^2 = x^3 + ax + b
# or a 5-tuple a,b,c,d,e for y^2 + axy + cy = x^3 + bx^2 + dx + e
print("" "".join(str(a) for a in curve))
```"
elliptic-curve-rank,full_problem,"An elliptic curve E over the rationals can be written in the general Weierstrass form

    E : y^2 + a1 x y + a3 y = x^3 + a2 x^2 + a4 x + a6,   a1, a2, a3, a4, a6 in Z.

By the Mordell-Weil theorem its group of rational points is finitely generated,

    E(Q) ≅ E(Q)_tors ⊕ Z^r,

and the non-negative integer r is the rank of E.

## Task

Find an elliptic curve E over Q of rank at least 30, and exhibit 30 rational
points on E that are linearly independent in E(Q) (equivalently, independent modulo
torsion). These 30 independent points force rank E(Q) >= 30.

## Submission

Write your answer to a file, then submit the path to that file using the `submit_answer`
tool. The file must contain a single JSON object with exactly two keys, ""curve"" and
""x_coords"":

  - ""curve"": the five coefficients [a1, a2, a3, a4, a6] of the Weierstrass model above,
    each an integer written as a string (e.g. [""1"", ""0"", ""0"", ""-7"", ""12""]). The
    coefficients must define a non-singular curve (nonzero discriminant).

  - ""x_coords"": a list of exactly 30 x-coordinates, each the x-coordinate of a
    rational point on E. Give each as a string that is an exact integer (e.g. ""5"") or
    fraction (e.g. ""-3/2""). You only supply x-coordinates: the verifier reconstructs a
    corresponding y (the two choices are the inverse points \(P\) and \(-P\); choosing either
    does not affect independence). Every x MUST be the x-coordinate of a genuinely rational
    point -- the reconstructed y must be rational -- otherwise the point is not in E(Q) and
    the submission is rejected.

The file should contain exactly this JSON object and nothing else. The example below only
illustrates the format; it is not a valid answer:

{""curve"": [""0"", ""0"", ""0"", ""0"", ""1""], ""x_coords"": [""2"", ""0"", ""-1""]}

Approximate or floating-point coordinate values will not be accepted."
euler-sum-of-powers,full_problem,"In 1769 Leonhard Euler conjectured that for every integer n > 2, no sum of fewer than n positive n-th powers can itself be an n-th power. In its tightest form this says the equation

    a_1^n + a_2^n + ... + a_{n-1}^n = b^n

has no solution in positive integers: with only n-1 terms on the left, an n-th power cannot be reached. Euler's conjecture stood for nearly two centuries. It was finally refuted for n = 5 by Lander and Parkin in 1966, who found

    27^5 + 84^5 + 110^5 + 133^5 = 144^5,

and later for n = 4 by Elkies and Frye. But for every exponent n > 5, no counterexample is known, and whether any exists remains open.

## Task

Find an integer k > 5 and positive integers a_1, ..., a_{k-1}, a_k such that

    a_1^k + a_2^k + ... + a_{k-1}^k = a_k^k.

The length of your list determines the exponent: if you submit k integers, the exponent is k, the first k-1 are summed, and the last is the right-hand side. So a valid submission of k integers is exactly a counterexample to Euler's conjecture for exponent k.

## Submission

Submit your list of integers (a_1, ..., a_k) using the submit tool. Every integer must be positive, as in the statement of the conjecture; zero or negative entries are rejected. There is no bound on their magnitude. Your submission is checked exactly with arbitrary-precision integer arithmetic, so an approximate or rounded answer will not be accepted."
genus-2-jacobian-torsion,full_problem,"For each squarefree polynomial f(x) in Z[x] of degree 6, the curve

    C_f : y^2 = f(x)

is hyperelliptic of genus 2, and its Jacobian J_f = Jac(C_f) is an abelian surface over Q.

A rational point of J_f can be given in Mumford coordinates by a pair of polynomials (u, v)
over Q with

  - u monic of degree 2,
  - deg v <= 1,
  - u dividing v^2 - f.

Such a pair describes the effective divisor D of degree 2 cut out by u(x) = 0 and y = v(x),
and the corresponding point of J_f is the divisor class [D - K], where K is the canonical
class of C_f: the degree-2 divisor cut out by x = constant, equivalently the sum of the two
points at infinity of the smooth projective model. (K is a rational divisor class even when
the two points at infinity are individually irrational, so [D - K] is a rational point of J_f
for every such pair (u, v).)

# Task

Find a squarefree polynomial f(x) in Z[x] of degree exactly 6, together with a point of
J_f(Q) whose order is a prime number p >= 31.

(There is no loss of generality in taking f to have integer coefficients: f and c^2 * f define
isomorphic curves for any c in Q*, so denominators can be cleared.)

# Submission

Write your answer to a file, then submit the path to that file using the `submit_answer` tool.
The file must contain a single JSON object with exactly three keys, ""coeffs"", ""u"", and ""v"",
each a list of coefficients given as strings, CONSTANT TERM FIRST:

  - ""coeffs"": the 7 coefficients of f, i.e. [""c0"", ""c1"", ..., ""c6""] meaning
    f(x) = c0 + c1 x + ... + c6 x^6. Each must be an integer, and c6 must be nonzero so that f
    has degree exactly 6.
  - ""u"": the 3 coefficients of u, i.e. [""u0"", ""u1"", ""u2""] meaning u(x) = u0 + u1 x + u2 x^2.
  - ""v"": the 2 coefficients of v, i.e. [""v0"", ""v1""] meaning v(x) = v0 + v1 x.

Every entry must be a string holding an exact integer such as ""5"" or an exact fraction such as
""-3/2"". Everything is checked with exact arithmetic, so approximate or floating-point values will
not be accepted.

The file should contain exactly this JSON object and nothing else. The example below only
illustrates the format; it is not a valid answer:

{""coeffs"": [""1"", ""0"", ""1"", ""0"", ""1"", ""0"", ""1""], ""u"": [""1"", ""0"", ""1""], ""v"": [""0"", ""0""]}"
genus-2-rational-points,full_problem,"For each squarefree polynomial f(x) in Z[x] of degree 6, the curve

    C_f : y^2 = f(x)

is hyperelliptic of genus 2. By Faltings' theorem (the Mordell conjecture), a curve of
genus at least 2 over Q has only finitely many rational points. Equivalently, there are
only finitely many x in Q for which f(x) is the square of a rational number.

The rational points of C_f come in two kinds:

  - Affine points: each x in Q with f(x) = y^2 != 0 yields a pair (x, y) and (x, -y); an
    x with f(x) = 0 yields the single point (x, 0).
  - Points at infinity: the smooth projective model has two points at infinity. They are
    rational if and only if the leading coefficient c6 of f is the square of a rational
    (equivalently, a perfect-square integer).

The current record is 642 rational points, achieved in 2008 by Elkies and Stoll with

    y^2 = 82342800 x^6 - 470135160 x^5 + 52485681 x^4 + 2396040466 x^3
          + 567207969 x^2 - 985905640 x + 247747600.

(Its leading coefficient 82342800 is not a perfect square, so this curve has no rational
points at infinity and all 642 of its rational points are affine.)

## Task

Find a squarefree polynomial f(x) in Z[x] of degree exactly 6 such that the curve
y^2 = f(x) has MORE THAN 642 rational points in total (affine points together with any
rational points at infinity).

(There is no loss of generality in taking integer coefficients: f and c^2 * f define
isomorphic curves for any c in Q*, so denominators and square factors of the leading
coefficient can be cleared.)

## Submission

Write your answer to a file, then submit the path to that file using the `submit_answer`
tool. The file must contain a single JSON object with exactly two keys, ""coeffs"" and
""points"":

  - ""coeffs"": the 7 coefficients of f as a list of integer strings, CONSTANT TERM FIRST,
    i.e. [""c0"", ""c1"", ""c2"", ""c3"", ""c4"", ""c5"", ""c6""] meaning f(x) = c0 + c1 x + ... + c6 x^6.
    Each coefficient must be an integer written as a string (e.g. ""0"", ""-7"", ""12""). The
    leading coefficient c6 must be nonzero, so that f has degree exactly 6.

  - ""points"": a list of [x, y] pairs giving the AFFINE rational points, each coordinate a
    string parseable as an exact rational (an integer like ""5"" or a fraction like ""-3/2"").
    Every pair must satisfy y^2 = f(x). Do NOT list the points at infinity -- the verifier
    adds them automatically (two of them when c6 is a perfect square, otherwise none).

The file should contain exactly this JSON object and nothing else. The example below only
illustrates the format; its points do not give a record curve:

{""coeffs"": [""1"", ""0"", ""1"", ""0"", ""1"", ""0"", ""1""], ""points"": [[""0"", ""1""], [""0"", ""-1""], [""1"", ""2""], [""1"", ""-2""]]}

Everything is checked exactly with arbitrary-precision rational arithmetic, so approximate
or floating-point values will not be accepted."
hadamard,full_problem,"Find a Hadamard matrix of order 668.

Write your Hadamard matrix to an .npy file (using `numpy.save`) and output the filepath. The matrix must be a square array of +1 and -1 entries."
hall-conjecture,full_problem,"Hall's conjecture concerns how close a perfect square can be to a perfect cube without being equal to it. For positive integers x and y with

    x^3 != y^2,

define the ""Hall ratio""

    r(x, y) = sqrt(x) / |y^2 - x^3|.

A large ratio means y^2 is a remarkably good (but not exact) approximation to x^3 relative to the size of x. The original strong form of Hall's conjecture asserted that this ratio is bounded by an absolute constant. Decades of computation have produced only finitely many large examples: the largest ratio currently known is approximately 46.6. A pair achieving a ratio greater than 100 would be a new record.

## Task

Find positive integers x and y such that

    x^3 != y^2    and    sqrt(x) / |y^2 - x^3| > 100.

## Submission

Submit your two integers as (x, y) using the submit tool. There is no bound on the magnitude of x or y. Your submission is checked exactly with arbitrary-precision integer arithmetic (the ratio condition is tested as x > (100 * |y^2 - x^3|)^2), so an approximate or rounded answer will not be accepted."
heesch-number,full_problem,"# Record-Setting Heesch Polyform

## Goal
Submit one connected, hole-free unmarked polyform with at most **200 cells**, compact enough for the verifier (`span_x + span_y <= 29`), and a witness patch showing **Heesch number at least 7**. The submitted polyform should not admit an isohedral tiling.

## Submission File
Return a single plain-text file containing one tile record in the compact `heesch-sat` text format.

The record must have this structure:

```text
GRID x1 y1 x2 y2 ... xn yn
~ hc hh P
N
level1 <a,b,c,d,e,f>
level2 <a,b,c,d,e,f>
...
levelN <a,b,c,d,e,f>
```

`P` is the number of witness patches; it is `1` in the common case (`hh == hc`) and `2` when you also certify `hh == hc + 1`. The block above shows a single patch. When `P = 2`, append a second count line `M` followed by `M` placement lines for the hole-allowed patch.

## Line-by-Line Format
`GRID x1 y1 x2 y2 ... xn yn`

`GRID` is the grid abbreviation. Allowed abbreviations include `O` (polyomino/square grid), `H` (polyhex/hexagonal grid), and `I` (polyiamond/triangular grid). Use `O` unless you intentionally submit a different supported polyform family. The remaining integers are occupied cell coordinates, not boundary vertices and not an outline walk. For example:

```text
O 0 0 1 0
```

describes a domino: one cell at `(0,0)` and one adjacent cell at `(1,0)`.

Every coordinate pair must name a cell of the grid you chose. `O` and `H` have a cell at every pair, but the other families do not: in `I`, for instance, a cell needs `x` and `y` to be congruent mod 3 and congruent to 0 (upward triangle) or 1 (downward triangle), so `I 1 0` names no cell. The verifier rejects a shape that lists a position which is not a cell, and likewise a placement whose transform is not a symmetry of the grid and so moves the tile off the grid's cells.

`~ hc hh P`

This status line declares a non-tiler witness record.

- `hc` is the claimed hole-free Heesch number.
- `hh` is the claimed Heesch number when holes are allowed in the outer corona. A non-tiler always has `hh == hc` or `hh == hc + 1`. If you are not demonstrating the hole variant, set `hh = hc`.
- `P` is the number of witness patches that follow. Set `P = 1` when `hh == hc` (just the hole-free patch). Set `P = 2` when `hh == hc + 1`: give the hole-free patch reaching corona `hc` first, then a second patch reaching corona `hh` whose outer corona may contain holes.
- Use `7 <= hc <= 12`. Set `hh = hc` (with `P = 1`) unless you also want to certify the hole variant `hh = hc + 1` (with `P = 2`). Acceptance depends only on the recomputed hole-free `hc` reaching the threshold.

`N`

The number of placed copies of the tile in the following patch, including the central copy. Each patch begins with its own count line and is followed by that many placement lines.

`level <a,b,c,d,e,f>`

Each placement line gives one copy of the tile.

- `level` is the corona index of that copy: `0` for the central seed, `1` for the first surrounding corona, `2` for the second, and so on.
- `<a,b,c,d,e,f>` is the affine lattice transform applied to every occupied cell `(x,y)` of the base tile:

```text
x' = a*x + b*y + c
y' = d*x + e*y + f
```

The matrix part `[[a,b],[d,e]]` should be a grid symmetry: a rotation and/or reflection valid for the selected grid. The translation part is `(c,f)`.

The central tile should normally be:

```text
0 <1,0,0,0,1,0>
```

## Constraints
- Use one tile record per submission file.
- Every listed coordinate pair must be a cell of the chosen grid (see the shape line above).
- The shape must be connected and hole-free.
- The shape must have at most 200 occupied cells.
- The shape must be compact enough for the current verifier: its coordinate bounding-box spans must satisfy `span_x + span_y <= 29`. Absolute translation does not matter; the solver normalizes position before classification. More elongated shapes may be mathematically interesting, but this verifier rejects them to avoid a known fixed-bitmap SAT failure mode.
- The witness patch must include all copies needed to demonstrate coronas through level `hc`.
- The patch must have no overlapping placed cells.
- Keep coordinates reasonably small so automated checking can finish.
- The verifier independently recomputes the classification with a maximum search level of 12. A
  shape that reaches that search bound is classified as inconclusive and is not accepted, even if
  its submitted witness is valid.

## Toy Example
This example is not a solution to the challenge; it only illustrates syntax.

```text
O 0 0 1 0
~ 1 1 1
3
0 <1,0,0,0,1,0>
1 <1,0,0,0,1,1>
1 <1,0,0,0,1,-1>
```

Submit your own record-setting high-Heesch construction instead of the toy example."
hirsch-conjecture,full_problem,"Let P be a bounded, full-dimensional convex polytope in R^4 with n facets. Its graph G(P) has the
vertices of P as nodes and the edges (1-dimensional faces) of P as arcs. The combinatorial diameter
of P is the largest graph distance between any two vertices of P.

Produce an explicit rational polytope P in R^4 whose combinatorial diameter is strictly greater
than n - 4, where n is its number of facets.

Submit P in BOTH representations, with every coordinate exact (no floating-point values):

  * an H-representation: an integer matrix A (with n rows and 4 columns) and an integer vector b
    (of length n) such that
        P = { x in R^4 : A x <= b },
    where the n rows of (A, b) are exactly the facets of P (each row is a facet; no row is
    redundant, and no facet is omitted);

  * the full V-representation: the complete list of vertices of P, each given as 4 exact rationals.

Format your answer as a single JSON object with these three keys:

  {
    ""A"": [[a_11, a_12, a_13, a_14], ..., [a_n1, a_n2, a_n3, a_n4]],
    ""b"": [b_1, ..., b_n],
    ""vertices"": [[v_11, v_12, v_13, v_14], ..., [v_m1, v_m2, v_m3, v_m4]]
  }

The entries of A and b must be integers. Each vertex coordinate must be either an integer or a
string holding an exact rational, for example ""3/2"", ""-7"", or ""0"". Do not use floating-point
numbers anywhere in the submission.

Write this JSON object to a file and submit the path to that file."
inverse-galois,full_problem,"Find a degree 23 polynomial in Z[x] whose splitting field over Q has Galois group M23. The coefficients of the polynomial must have fewer than 100 decimal digits.

Provide your solution as a single polynomial expression in Magma syntax, e.g.
  3*x^2 - 2*x + 1
Only integer literals, the variable x (lower case), the operators + - * ^ and parentheses are
accepted. Do not wrap the expression in quotation marks, and do not add a trailing semicolon, an
assignment, or any other Magma code."
jones-unknot,full_problem,"Your task is to disprove the Jones unknot conjecture by exhibiting a nontrivial knot whose normalized Jones polynomial is 1.

The Jones unknot conjecture asserts that the unknot is the only knot whose normalized Jones polynomial equals 1. It is a famous open problem. A counterexample is a knot K that is genuinely knotted — it has positive Seifert genus, so it is not the unknot — yet has normalized Jones polynomial exactly 1.

Concretely: produce a planar diagram of a single knot K such that

- the normalized Jones polynomial of K is exactly 1 (the unknot's value), and
- K is not the unknot: its knot Floer homology has positive Seifert genus.

## Diagram format

Give K as a PD (planar diagram) code — a list of crossings, each a 4-entry list of nonnegative integer edge labels listing the four strand ends around the crossing. The four entries are listed counterclockwise starting at the incoming under-strand (SnapPy/Spherogram's `PD_code()` convention); a diagram whose crossings violate this convention is rejected as malformed input. Each edge label must appear exactly twice, and the diagram must be classically planar and represent exactly one knot component. For example, the trefoil is:

    [[5, 2, 0, 3], [3, 0, 4, 1], [1, 4, 2, 5]]

The diagram may have at most 100 crossings, and it must be reduced: it must admit no simplifying Reidemeister I or II move. Equivalently, SnapPy/Spherogram's `Link(pd).simplify(mode='basic')` must return `False` on your diagram — and if it returns `True`, the simplified link it leaves behind is a qualifying diagram of the same knot.

## Compute budget

The crossing limit is not a compute budget. Verification computes the Jones polynomial and knot Floer homology of the diagram you submit, and the cost of both — knot Floer homology especially — is driven by the Morse width/girth of the *diagram*, not by its crossing number: across reduced 55-to-80-crossing diagrams we measured knot Floer runtimes from under a second to several minutes, and the diagrams with more crossings were often the faster ones. The verifier allows 900 seconds for any single one of these computations and 1800 seconds for all of them together.

You control the diagram: present your knot as a low-width diagram — a closed braid on few strands, or a diagram simplified with `Link(pd).simplify(mode='global')` — rather than assuming that a knot within the crossing limit is within reach.

## Submission format

Write your answer to a file whose entire contents are the PD code as a single Python literal (a list of 4-element lists of nonnegative integers), for example:

    [[5, 2, 0, 3], [3, 0, 4, 1], [1, 4, 2, 5]]

Submit the path to that file with the submit tool."
large-mahler-measure,full_problem,"For a polynomial P(x) = sum_{k=0}^d a_k x^k, write e(t) = exp(2*pi*i*t) and recall the Mahler measure

    M_0(P) = exp( integral_0^1 log|P(e(t))| dt ).

A Littlewood polynomial is one whose coefficients all satisfy a_k = +-1. For such a polynomial of degree d, Parseval gives ||P||_2 = sqrt(d+1), and Jensen's inequality yields M_0(P) <= sqrt(d+1). Define the normalized Mahler measure

    b(P) = M_0(P) / sqrt(d+1),

so that 0 < b(P) <= 1. The goal is to construct Littlewood polynomials whose normalized Mahler measure is as large as possible at arbitrarily large degree.

Concretely: find an algorithm that takes a positive integer n as input and produces a Littlewood polynomial of degree strictly greater than n whose normalized Mahler measure satisfies

    b(P) > 0.97.

Solution format:
* Write a Python script defining a function `solution(n: int) -> str`.
* The returned string must be over the alphabet {'+', '-'} and have length d+1 > n+1, where the k-th character (0-indexed) is the sign of the coefficient a_k, listing a_0, a_1, ..., a_d (lowest-order coefficient first). '+' denotes the coefficient +1 and '-' denotes -1.
* Do not include any code at the file level. You may include a `main` block for testing, but it will not be executed by the verifier.
* You may assume n <= 500000; no larger value of n is tested.
* For each tested n the call to solution(n) must complete within 5 minutes on a typical laptop, and the returned degree must not exceed 2000000. Since n is at most 500000, this cap always leaves room for a valid answer.
* An example showing the required format is provided in the file ""/solution_example.py""."
large-steiner-systems,full_problem,"Let [n] be the elements {1,...,n}. Call T a q-subset of [n] if T⊆[n] and the size of T is q.

A (n,q,r)-Steiner system S is a set of q-subsets of [n] such that every r-subset of [n] is contained in exactly 1 element of S.

Your task is to find a (n,q,r)-Steiner system for any n > q > r > 5, where r < 10 and n < 200.

Submit your answer with the parameters n, q, r, and blocks (the list of q-subsets, where each block is a list of q integers from {1, ..., n})."
leech-trees,full_problem,"A tree with positive-integer edge weights is called a Leech tree if the set of all pairwise path distances between vertices is exactly {1, 2, 3, ..., n(n-1)/2}, where n is the number of vertices. In other words, every integer from 1 up to n(n-1)/2 appears as the path distance between exactly one pair of vertices.

Your task is to construct a Leech tree with 18 or more vertices.

Output your answer as a file named submission.json containing a JSON array of edges, where each edge is a triple [x, y, w]:
- x and y are positive integers representing the two endpoint vertices
- w is a positive integer representing the edge weight

The edges must form a valid tree (connected, no cycles) on n >= 18 vertices with positive-integer edge weights, and the n(n-1)/2 pairwise path distances must be exactly the integers 1, 2, 3, ..., n(n-1)/2.

Example format for a small Leech tree on 3 vertices (distances 1, 2, 3):
[
  [1, 2, 1],
  [2, 3, 2]
]

Your submission.json should follow this same format, scaled up to 18 or more vertices."
lonely-runner,full_problem,"# The Lonely Runner Conjecture

Consider n runners on a circular track of length 1, all starting at position 0 at time t=0, each running at a distinct positive integer speed. The conjecture states:

    For any such set of n runners, there exists a time t at which every runner is at distance at least 1/(n+1) from the starting position 0.

Here, distance on the circular track means the shorter arc length, i.e. the distance of runner k from 0 at time t is

    ||t * vk|| = min( {t * vk}, 1 - {t * vk} )

where {x} denotes the fractional part of x.

## Your task

Find a counterexample: a list of n >= 2 distinct positive integers v1, ..., vn such that for every time t, at least one runner is at distance strictly less than 1/(n+1) from position 0. In other words, there is no moment at which the starting position is ""lonely"".

## Submission format

Write your answer to a file containing the speeds as integers separated by spaces or newlines, for example:

    3 7 11 15

Submit your file path using the submit tool."
matrix-multiplication,full_problem,"The matrix multiplication tensor M<4> encodes the bilinear map that multiplies two 4x4 matrices over the complex numbers. A rank-r decomposition of M<4> is a list of r triples (L_s, R_s, P_s) for s = 1, ..., r, where

  - L_s is a linear form on the entries of a 4x4 matrix A,
  - R_s is a linear form on the entries of a 4x4 matrix B,
  - P_s is a 4x4 matrix of coefficients,

such that for ALL 4x4 matrices A and B,

  A B = sum_{s=1}^r L_s(A) * R_s(B) * P_s.

Equivalently, this is an algorithm that multiplies two 4x4 matrices using at most r scalar multiplications (the products L_s(A) * R_s(B)), where additions and multiplications by fixed constants are free.

Your task is to exhibit a decomposition of rank r <= 47.

Coefficients may be complex algebraic numbers. You will certify them exactly by working in a coefficient ring Q[t]/(f), where f(t) is a polynomial with rational coefficients: each coefficient is represented as an element of Q[t]/(f), and choosing any complex root of f recovers the complex decomposition.

Output your answer as a file containing a single JSON object with these keys:

  {
    ""r"": <integer rank, with r <= 47>,
    ""f"": [c0, c1, ..., cd],
    ""L"": [ <r rows, each a list of 16 entries> ],
    ""R"": [ <r rows, each a list of 16 entries> ],
    ""P"": [ <r rows, each a list of 16 entries> ]
  }

Format details:

  - ""f"" lists the coefficients of f(t) = c0 + c1*t + ... + cd*t^d in ascending degree, with cd != 0 and degree d >= 1. (Use f = [0, 1], i.e. f(t) = t, to work over the plain rationals Q.)

  - Each of ""L"", ""R"", ""P"" is an array of exactly r rows, and each row has exactly 16 entries, one per matrix cell in row-major order: column index 4*(i-1) + (j-1) corresponds to the (i, j) cell (rows and columns indexed 1..4). For row s, the entries of L give L_s as the linear form L_s(A) = sum_{i,j} L[s][4*(i-1)+(j-1)] * A_{ij}; likewise R[s] gives R_s(B) = sum_{j,k} R[s][...] * B_{jk}; and P[s] gives the matrix P_s, so (P_s)_{ik} = P[s][4*(i-1)+(k-1)].

  - Each entry is an element of Q[t]/(f), written as a list of rational coefficients [a0, a1, ...] meaning a0 + a1*t + ... (degree strictly less than d). A bare scalar (e.g. ""1"" or 3) is accepted as a constant. Rational numbers must be written as integers or as exact fraction strings like ""3/2"" or ""-1/4"". Floating-point numbers are NOT accepted, since the check is exact; this includes decimal strings like ""0.5"" and exponent notation like ""1e3"" (write ""1/2"" and ""1000"" instead)."
